model,d0,theta10,theta20,d_final,theta1_final,theta2_final,F_d,F_theta1,F_theta2
first_half,1.0,-0.6283185307179586,-3.141592653589793,1.7112925,0.112532854,-2.4988585,-4.673004e-05,6.1154366e-05,0.00039411377
first_half,1.0,-0.6283185307179586,-2.5132741228718345,1.711292,0.112532854,-2.498856,-6.151199e-05,5.9723854e-05,0.00039138668
first_half,1.0,-0.6283185307179586,-1.8849555921538759,2.0880306,1.9286335,1.1473138,-1.2176094,1.1719911,0.5536812
first_half,1.0,-0.6283185307179586,-1.2566370614359172,1.7112917,0.112532616,-2.4988563,-6.1273575e-05,5.5789948e-05,0.0003885268
first_half,1.0,-0.6283185307179586,-0.6283185307179586,10.453872,-2.9609368,0.27533555,0.00030565262,0.0004081726,0.00030735246
first_half,1.0,-0.6283185307179586,0.0,1.6831082,2.3836992,0.2885592,0.6668167,2.9916553,-0.37665084
first_half,1.0,-0.6283185307179586,0.6283185307179586,3.3886259,2.3654234,0.12827706,-0.9869404,0.21448517,0.071814574
first_half,1.0,-0.6283185307179586,1.2566370614359172,0.90047354,-0.15864825,2.3440564,-0.0005674362,-5.865097e-05,1.662679e-05
first_half,1.0,-0.6283185307179586,1.8849555921538759,0.9004747,-0.15864801,2.3440564,-0.0005712509,-6.1035156e-05,2.7204738e-05
first_half,1.0,-0.6283185307179586,2.5132741228718345,1.7112923,0.112532616,-2.498857,-5.6266785e-05,5.9843063e-05,0.00039287313
first_half,1.0,0.0,-3.141592653589793,1.7112923,0.112532616,-2.4988582,-4.529953e-05,6.902218e-05,0.00038922732
first_half,1.0,0.0,-2.5132741228718345,1.711292,0.11253238,-2.4988577,-5.340576e-05,6.3061714e-05,0.00039168124
first_half,1.0,0.0,-1.8849555921538759,1.7112919,0.11253238,-2.498857,-5.865097e-05,6.377697e-05,0.00038912165
first_half,1.0,0.0,-1.2566370614359172,1.7112923,0.11253238,-2.498858,-5.4359436e-05,6.723404e-05,0.000387923
first_half,1.0,0.0,-0.6283185307179586,1.7112923,0.11253238,-2.498858,-5.4359436e-05,6.723404e-05,0.000387923
first_half,1.0,0.0,0.0,3.0265162,2.8598268,-0.11584234,0.8698559,-1.4778013,-0.5152765
